city,postcode,latitude,longitude,total_score,scheme_references,nobroadband_rate,simd10,pc_type,ur_class
Inverness,IV2 6AQ,57.44607303,-4.21979656,17,MVS,3,8,small,2
Inverness,IV2 6BN,57.44575952,-4.22076086,17,MVS,3,8,small,2
Inverness,IV2 6FN,57.44669518,-4.22018427,17,MVS,0,8,small,2
Inverness,IV2 6FP,57.44773731,-4.21866409,17,MVS,0,8,small,2
Inverness,IV3 8DU,57.48755149,-4.24405458,24,MVS,0,1,small,2
Inverness,IV3 5LE,57.48210789,-4.24447129,22,MVS,4,3,small,2
Inverness,IV3 5LU,57.48130854,-4.24495607,22,MVS,4,3,small,2
Inverness,IV3 8EP,57.48560408,-4.24038133,24,MVS,0,1,small,2
Inverness,IV1 1DF,57.47915675,-4.22594083,24,MVS,9,1,small,2
Inverness,IV1 1EH,57.47893103,-4.22651093,24,MVS,9,1,small,2
Inverness,IV2 3PP,57.47908599,-4.22078204,24,MVS,9,1,small,2
Inverness,IV2 3FR,57.47614093,-4.19810227,22,MVS,12,3,small,2
Inverness,IV2 3UW,57.47420675,-4.19823624,22,MVS,12,3,small,2
Inverness,IV2 3UL,57.47514178,-4.19665786,22,MVS,12,3,small,2
Inverness,IV2 3UU,57.47592911,-4.20045805,19,MVS,54,6,small,2
Inverness,IV2 3YW,57.47560882,-4.19666922,22,MVS,12,3,small,2
Inverness,IV2 6RG,57.44508668,-4.23290268,16,MVS,0,9,small,2
Inverness,IV2 7FJ,57.48030293,-4.15374606,21,MVS,0,4,small,2
Inverness,IV2 7FL,57.48165019,-4.15272438,21,MVS,0,4,small,2
Inverness,IV2 7NH,57.47756208,-4.15692072,23,MVS,36,7,small,6
Inverness,IV2 5BG,57.4640527,-4.18068542,22,MVS,12,8,small,6
Inverness,IV2 3RJ,57.47292476,-4.1954907,22,MVS,12,3,small,2
Inverness,IV2 3UJ,57.47383055,-4.19249287,22,MVS,12,3,small,2
Inverness,IV3 5TD,57.46511343,-4.24362906,21,MVS,2,4,small,2
Inverness,IV3 8JL,57.46483275,-4.24526266,21,MVS,2,4,small,2
Inverness,IV3 8DZ,57.46219313,-4.2771975,18,MVS,86,7,small,2
Inverness,IV2 7HS,57.49459694,-4.10971456,15,MVS,68,10,small,2
Inverness,IV2 7HW,57.49368312,-4.11438434,20,MVS,68,10,small,6
Inverness,IV2 7JW,57.49242097,-4.11249249,15,MVS,68,10,small,2
Inverness,IV1 1HD,57.47734954,-4.22651475,24,MVS,9,1,small,2
Inverness,IV2 3EX,57.47628859,-4.22349784,20,MVS,0,5,small,2
Inverness,IV3 8DX,57.48721398,-4.23320534,24,MVS,0,1,small,2
Inverness,IV3 5PR,57.47772677,-4.22957358,21,MVS,6,4,small,2
Inverness,IV2 5WA,57.46634672,-4.16436377,23,MVS,0,2,small,2
Inverness,IV2 6GY,57.44845853,-4.17158997,18,MVS,6,7,small,2
Inverness,IV2 6HA,57.44745301,-4.17414699,16,MVS,1,9,small,2
Inverness,IV3 8AB,57.48810268,-4.23781471,24,MVS,0,1,small,2
Inverness,IV3 8AE,57.48860877,-4.23866328,24,MVS,0,1,small,2
Inverness,IV2 7AJ,57.48481835,-4.15871671,22,MVS,59,8,small,6
Inverness,IV2 7AL,57.48446117,-4.15806166,22,MVS,59,8,small,6
Inverness,IV2 7AN,57.48481112,-4.15651406,23,MVS,36,7,small,6
Inverness,IV2 7AP,57.48432313,-4.15510058,23,MVS,36,7,small,6
Inverness,IV2 7GD,57.48129845,-4.17739289,22,MVS,4,3,small,2
Inverness,IV2 7NS,57.48882226,-4.16677849,22,MVS,59,8,small,6
Inverness,IV2 7PA,57.48129122,-4.18559998,22,MVS,4,3,small,2
Inverness,IV2 4RW,57.45425045,-4.24461368,17,MVS,49,8,small,2
Inverness,IV2 4XE,57.45516173,-4.24440282,17,MVS,49,8,small,2
Inverness,IV2 4EG,57.45891383,-4.22230903,15,MVS,1,10,small,2
Inverness,IV1 1LU,57.48041659,-4.22685158,24,MVS,9,1,small,2
Inverness,IV1 1NH,57.48098442,-4.22573509,24,MVS,9,1,small,2
Inverness,IV1 1NQ,57.48121646,-4.22633309,24,MVS,9,1,small,2
Inverness,IV3 8RA,57.48767593,-4.25470738,18,MVS,26,7,small,2
Inverness,IV3 8RD,57.48903472,-4.25811165,18,MVS,26,7,small,2
Inverness,IV3 8JJ,57.46593986,-4.26023831,21,MVS,96,4,small,2
Inverness,IV3 8RY,57.46914438,-4.25891865,21,MVS,96,4,small,2
Inverness,IV3 8SZ,57.46580697,-4.25862927,21,MVS,96,4,small,2
Inverness,IV2 4JL,57.46032139,-4.21687586,24,MVS,4,1,small,2
Inverness,IV3 8XX,57.47431438,-4.26374124,20,MVS,48,5,small,2
Inverness,IV3 8NU,57.47338151,-4.26164871,20,MVS,48,5,small,2
Inverness,IV2 5AY,57.47078846,-4.14526443,17,MVS,42,8,small,2
Inverness,IV2 6ET,57.44803193,-4.21928195,17,MVS,0,8,small,2
Inverness,IV2 6FE,57.44901261,-4.21000763,22,MVS,23,8,small,6
Inverness,IV2 7AQ,57.48261757,-4.14816028,21,MVS,19,4,small,2
Inverness,IV2 5NQ,57.47484765,-4.16326547,18,MVS,36,7,small,2
Inverness,IV2 4QR,57.46071845,-4.23002139,20,MVS,6,5,small,2
